school_name,index,LEAID
delvalleisd,675,4816620
delano,1338,
dellcityindependent,1300,
deltacollege,1632,
demo-harpercollege,3209,
demo-litchfieldcommunity12,2625,
denisonisd,774,4816710
dentonisd,949,4816740
denvercityindependent,1942,
derby,2426,901110
desotoindependent,947,
detroitisd,1724,4816890
detroitlakes,2364,
deversisd,745,4816920
devineisd,955,4816950
dewisd,1865,4816980
deweyvilleisd,746,4817010
dewitt,1616,500001
d'hanisindependent,990,
diamondlake76,1733,1712210
dibollisd,2232,4817040
dickinsonindependent,2257,
dickinson-ironintermediate,1100,
dilleyindependent,852,
dillinghamcity,1775,200120
dimeboxisd,773,4817130
divideisd,2485,4817190
dixon#170,1258,
dolton149,2571,1712420
donnaindependent,1299,
dossccsd,1354,
douglas,1502,1301860
douglaseducationservice,1551,
douglassisd,2252,4817460
drippingspringsindependent,634,
driscollisd,1438,4817550
dublinindependent,865,
duchesne,1429,4900240
duluth,963,
dumasindependent,1196,
duncanvilleisd,858,4817640
dundeecommunity,1093,2612300
dunlap323,1250,
dupageareaoccupationaleducationsystem,1727,
dupagehigh88,1320,
dupocusd196,1741,
durandarea,1097,2612330
eaglemountain-saginawisd,1017,
eaglepassisd,2009,4817730
eaglepoint9,1542,4104500
earlyisd,2033,4817790
eastaurora131,1665,
eastchambersisd,715,4817880
eastchina,2609,2612420
eastgrandforks,1524,2711130
eastlansing,1629,2612600
eastmississippicommunitycollege,2651,
eastmoline37,1688,1713170
eastmountainhigh,2279,
easterncarver,1159,2708190
easternupperpeninsulaintermediate,2786,
eastpointecommunity,1944,2612450
eatonresa,1639,2680380
echojointagreement,1749,
ectorindependent,1406,
ectorisd,2492,4818000
edcouch-elsaisd,1455,4818060
eddyvillecharter,2821,
edenvalley-watkins,1816,2711190
edgewoodisd-bexar,844,
edgewoodisd-vanzandt,1298,
edina,2636,
edinburgcommunityunit#4,1750,
edinburgconsolidatedindependent,1044,
ednaisd,1614,4818210
educationservicecenterregion13,1949,
"educationservicecenter,region20",1988,
effinghamcommunity,1670,
elcampoindependent,901,
electraindependent,2552,
elginindependent,Elgin,
elkrapids,2387,2613050
elkhartisd,1307,4818390
eloyelementary,2034,
elysianfieldsisd,2644,4818480
ennisisd,862,4818540
eraisd,846,4818600
española#55,2123,
estacada,1566,
estanciamunicipal,2064,
eugene4j,1549,4104740
eurekausd389,2660,
eustaceisd,722,4818720
evadaleisd,2044,4818750
evanstontownshiphigh202,1479,
evanston/skokie65,1247,
evansvillevanderburghpubliclibrary,2017,
evantisd,1843,4818780
evergreenparkelementary124,1748,
evermanisd,1454,4818810
fabensisd,1346,4818900
fairfieldisd,695,4818940
faithfamilyacademy,2407,4800105
fallscityisd,1937,4819020
fallseducationco-op,1291,
faribault,1125,
farmersvilleisd,1008,4819080
farmingtonmunicipal,1154,
farmington,1087,506090
fayettevilleindependent,1064,
fentoncommunityhigh100,1427,
fernridge28j,1535,4104950
ferndale,1323,2614280
ferrisisd,2326,4819170
first5la,2038,
first5riverside,2119,
flatrockcommunity,1609,2607080
flatoniaisd,1774,4819280
flintcommunity,1324,
flinthillsusd492,2603,
floodwood#698,1132,
florenceindependent,677,
floresvilleisd,1706,4819350
flourbluffindependent,1439,
flowingwells,1607,
floydadacollegiateisd,2287,4819440
foleyisd51,1823,
follettisd,2021,4819500
forestgrove,3194,4011850
foresthills,691,2614610
forestlakearea,1059,
forneyisd,637,4819560
forrest,1740,2801490
forrestvillevalley221,1249,
forsanisd,834,4819620
fortbendindependent,649,
fortcherry,2141,4209960
fortelliottcisd,2803,4811400
forthancockindependent,2300,
fortsamhoustonisd,1984,
fortsmith,1150,506330
fortworthisd,733,4819700
fourriversspecialeducation,2001,
frankphillipscollege,2308,
frankfortcusd168,1726,1741580
frankstonisd,2208,4819770
fraser,1115,2614820
"frazee-vergas,isd23",1088,
frederic,2070,5504860
fredericksburgisd,825,4819840
freelandcommunity,1317,2615060
freerisd,1001,4819820
fremontno.79,1732,
fridley,1114,
friendshippubliccharter,2126,
frionaisd,1262,4819980
friscoisd,2014,4820010
frostisd,2331,4820040
fruitportcommunity,2482,2615390
fruitvaleisd,1938,4820070
gailbordenpubliclibrary,1426,
gainesvilleisd,2214,4820220
galenacity,2586,200130
galenaparkisd,1860,4820250
galvestoncollege,1505,
galvestonindependent,1941,
ganadoisd,2306,4820310
gardencityusd457,2712,
garlandindependent,1084,
garnerisd,730,4820370
garrisonisd,2055,4820400
garyisd,884,4820460
gatesvilleisd,910,4820500
gavin37,1251,1716290
gaylordcommunity,913,2615730
genevacusd304,1667,1716380
georgetownisd,966,4820600
georgetown-ridgefarmunitno.4,1731,
giddingsisd,710,4820640
gilmerisd,1768,4820700
gladewaterindependent,2202,
glasscockisd,1363,4820790
glastonbury,2417,901620
glenellyn41,1309,1716800
glenroseindependent,732,
glenbardtownshiphigh#87,1729,
glencoepubliclibrary,1234,
godleyisd,2605,4820960
gogebicontonagonintermediate,2747,
goldendale,780,5303090
goldthwaitecisd,881,
goliadisd,2600,4821030
gonzalesindependent,950,
goodhueeducation,971,2791443
goodwillcentraltexas/excel,2502,
goosecreekcisd,1195,4821150
gordonisd,1081,4821180
gpmlifeinsurance,2393,
gradyisd,987,4821300
grahamisd,800,4821360
granburyisd,772,4821390
granby,2427,901680
grandprairieindependent,948,
grandsalineisd,824,4821450
grandfalls-royaltyindependent,3189,
grandviewisd,1755,4821540
grandville,3041,2616470
grangerisd,1848,4821590
granite,2744,3000037
grantcommunityhigh124,1751,
grantonarea,2168,5505640
grapecreekisd,734,4821600
grapevine-colleyvilleisd,1198,4821660
gratiotcourthouse,1371,
grayslakechsd127,1736,1717550
graysoncollege,1233,
greasewoodspringscommunity,763,
greateralbany8j,2005,
greenbushmiddleriverisd2683,1219,
greenvilleelectricutilitysystem(geus),682,
greenvilleisd,1948,4821720
greenwoodindependent,729,
gregory-portlandisd,1396,4821780
gresham-barlow,3214,
groesbeckisd,670,4821810
groomindependent,1884,
grosseiletownship,1334,2617220
gulllakecommunity,1057,2617250
gunterisd,1238,4821960
gurnee56,1244,1717800
gustineisd,2784,4821990
halecenterisd,2278,4822050
hallettsvilleisd,2193,4822120
hallsvilleisd,1976,4822170
hamiltoncommunity,1630,1804230
hamiltonisd,951,4822230
hamlincollegiateisd,917,4822260
hamshire-fannettisd,792,4822320
hancock,2645,1302640
happyisd,2251,4822350
harborsprings,1180,2617700
hardinisd,1123,4822380
hardin-jeffersonisd,952,4822410
harlandaleisd,1981,4822470
harlemconsolidated,1725,
harletonindependent,1864,
harlingenconsolidatedindependent,1015,
harmonyisd,942,4822560
harpercreekcommunity,1420,2617730
harperwoods,1638,
harrisonboard,2161,
harrison36,1264,1718360
hart,1028,1302730
hartsbluffisd,937,4822710
harvardcusd50,1227,1718420
harvey152,1735,1718450
haskellcisd,2723,4822740
hastings,931,3171580
hawkinsindependent,678,
hayscisd,1858,4800010
hazelcrest1521/2,1401,
hazelpark,1527,
hearneisd,2705,4822830
heartoftexasbehavioralhealthnetwork,3207,
hedleyindependent,2684,
helix,2585,
hemphillisd,2578,4822890
hempsteadindependent,2241,
hendersonisd,958,4822970
henriettaisd,755,4822980
herefordisd,2218,4823010
hermantowncommunity,2711,2713920
hermiston,1544,
hicoisd,656,4823070
hidalgoisd,2062,4823100
highlandisd,1398,4823190
highlandparkisd-dallas,2024,
highlandparkisd-potter,935,
hillcity,1074,
hillcollege,1013,
hillssa,2106,
hillsboroisd,953,4823280
hillsboro1j,1540,4100023
hillsdaleisd,1101,2680480
hinckley-bigrockcusdno.429,1228,
hitchcockisd,1009,4823310
holbrookunified3,1359,
hollandisd,2290,4823370
hollandtownship,1928,3407380
hollandale,2384,2801890
hollidayindependent,1881,
hollyarea,1471,2618450
holmesconsolidated,974,2800195
homedalejt.370,2069,
homerccsd33c,1742,1719500
hondoindependent,640,
honeygrovei.s.d.,1224,
hooksisd,2309,4823490
horizonmontessori,2035,4800065
houghtonlakecommunity,1030,2618600
housemunicipal,2760,
houstoncommunitycollege,3045,
howardcollege,1861,
howell,1421,2618720
hubbardisd-hill,2013,
huckabayisd,975,4823760
hudsonisd,1672,4823790
huffmanisd,2641,4823820
huntingtonisd,946,4824000
huntleycommunity158,1422,
huntsvilleisd,736,4824030
huronintermediate,961,
huttoisd,749,4824100
hydaburgcity,1529,200330
idalouisd,2327,4824120
iditarodarea,2697,200520
illinicentralcusd#189,701,
illinoiseasterncommunitycolleges,2652,
illinoisagency,1730,
imlaycitycommunity,941,2619100
independent#272edenprairie,1589,
independent#361,1332,
independent31,1297,
independent316,1817,
independent748,1516,
independent761,1055,
independentno.465,1692,
inghamintermediate,1274,
inglesideisd,787,4824180
intermediate287,1201,2700025
intermediate917,1033,2700026
ioniaintermediate,1181,
ionia,1626,2619250
iowaparkcisd,2788,4824260
iraisd,1440,4824300
ironmountain,2749,2619410
irvingindependent,828,
isd#186-pequotlakes,1743,
isd#696-ely,1352,
isd199invergroveheights,1694,
isd279-osseoarea,2519,
isd640-wabasso,1696,
italyindependent,2171,
itascaindependent,835,
itasca#10,1744,
j.sterlingmortonhigh201,1387,
jackson,1999,101830
jacksonlocal,778,3904985
jacksonvilleisd,1207,4824590
jacksonville#117,1241,
jarrellisd,1933,4824600
jasperisd,2063,4824630
jayton-girardisd,2477,4824660
jeffersonindependent,982,
jemezvalley,2124,3501410
jenison,1644,2619830
jimhoggisd,2328,4824750
jimnedconsolidatedindependent,1441,
joliettownshiphigh204,1212,
jonesboroelementary43,2523,
joppa-maplegroveunit#38,2825,
jordan#717,1773,
josephcityunified,894,
joshuaindependent,759,
jourdantonindependent,1836,
juab,1500,4900450
judsonisd,1434,4824990
junctionindependent,753,
kalamazooresa,1619,2680600
kalevanormandickson/bearlake,2092,
kansasboardassociation,Kansas,
karnackisd,3197,4825110
karnescityisd,977,4825140
kaufmanindependent,2293,
keeneisd,1849,4825230
keeneyville20,1389,1720880
kellerindependent,2320,
keltonisd,2321,4825290
kempindependent,2338,
kenedy-widecommon,2201,
kenedyisd-karnes,1746,
kennardisd,1676,4825470
kennedaleindependent,2219,
kenoshaunified,2131,
kentisd,2589,2680620
kentuckystateboardoflicensureforprofessionalengineers,1753,
kenyonwanamingo,1811,
kerensindependent,897,
kermitisd,2213,4825560
kerrvilleindependent,684,
kewaunee,2139,5507410
kildeercountryside96,2806,
kilgorecollege,1011,
kilgorecollegefoundation,2538,
kilgoreisd,920,4825620
killdeer,2623,
killeenindependent,1051,
killingly,2428,902070
kinglibrarysystem,2778,
kingmanusd#20,2802,
kingsleyarea,2354,2620380
kingsvilleisd,2237,4825680
kirbyvillecisd,954,4825710
kittsoncentral,3193,2791447
klamath,1570,4107020
klamathfallscity,1567,4107080
kleinindependent,921,
kms,709,
komarek94,1230,1721420
kountzeisd,1403,4825920
krumisd,717,4825980
laferiaindependent,1835,
lagrangeindependent,766,
laporteindependent,767,
lapryorisd,960,4826250
lavegaisd,870,4826280
laverniaisd,1470,4826310
lavillaisd,1962,4826340
lacklandisd,1983,4826370
lacrosseusd395,2649,
lafayettecorporation,1838,1805400
lagunadepartmentofeducation,1520,
lakeandpeninsula,1232,
lakebluff65,1265,
lake7,1557,4107280
lakecrystalwellcomememorial,1690,
lakedallasindependent,859,
lakeorioncommunity,1518,2620730
lakependoreille#84,2582,
lakeridge,2056,
lakeshore,1620,
laketravisindependent,900,
lakevilla41,1255,
lakeworthisd,842,4826490
lakelandjointno.272,2129,
lakeshore,1617,
lakeviewcommunity,1070,3100112
lakeview,1089,2700088
lakeville,1160,2307200
lakewaymud,698,
lakewood,902,2620980
lamarcisd,2273,4826580
lamar,782,101950
lamesaisd,686,4826610
lampasasindependent,1901,
lancasterisd,743,4826670
laneeducationservice,1565,
lansing,1579,2008340
lapeercommunity,993,2621180
laporte#306,1134,
lapoynorisd,700,4826220
laredocollege,2181,
laredoindependent,2520,
lasaraindependent,2296,
latexoindependent,2196,
lawtoncommunity,1622,2621240
lesueur-henderson,1666,2718070
leakeyisd,706,4827000
leanderisd,795,4827030
leecollege,747,
lee,985,102070
leforsisd,973,4827090
leland,2817,2802610
lemonthigh210,1271,
leonisd,1996,4827180
leroy-gridleyusd245,2648,
lesterprairie,2562,
levellandisd,2283,4827240
lewis,2780,2008700
lewiston-altura,2341,
lewisvilleindependent,1194,
lexingtonisd,1257,4827330
leydenhigh212,1259,
libertyhillisd,929,4827420
libertyindependent,725,
liberty-eylauisd,822,4827390
libertyvilleelementary70,1784,
lincoln,2565,508940
lincolnesd156,2505,1708100
lincolnshire-prairieview103,1204,1723090
lincolnwood74,1270,1723100
lindaleisd,2191,4827510
linden-kildarecisd,739,4827540
lindop92,1578,1713440
lindsayisd,1875,4827570
lipanisd,1947,4827630
lislecusd202,1795,1723200
littlecypress-mauricevillecisd,807,4827690
littleelmisd,860,4827720
littlefallscommunity,903,2718240
livingstonisd,1664,4827780
livonia,1615,2621840
llanoisd,681,4827810
lockhartindependent,714,
lockport91,1496,1709210
lombard44,740,1723460
londonindependent,996,
loneoakindependent,2315,
longprairie-greyeagle,1444,2700109
longviewisd,2235,4828110
lorenaisd,933,4828200
lorenzoisd,2435,4828230
losalamos,2696,3501650
losfresnoscisd,887,4828290
louiseisd,2107,4828350
louisianacitizenspropertyinsurancecorporation,2594,
lovejoyindependent,856,
loveladyindependent,1078,
lubbockindependent,869,
lubbock-cooperisd,1703,4815180
lulingisd,1156,4828590
lumbertonisd,851,4813530
lyfordcisd,1489,4828620
lyme-oldlyme,2421,
lyon,1027,2103690
lyons103,1785,1723850
lyonstownshiphigh204,1797,
lytleindependent,1872,
mabankindependent,1915,
macombcommunitycollege,1312,
madison,1640,102220
madison,2416,102220
madisonvillecisd,2059,4828710
magnoliaisd,793,4828740
mahtomedi,1077,
malakoffindependent,653,
mammoth-sanmanuelunified,2122,
manisteearea,1636,2622410
manisteeintermediate,1079,
manitowocpublic,2108,
mannheim83,1275,1724330
manorindependent,938,
mansfieldisd,1116,4828920
maplelake,1832,
maranaunified,1780,
marathonisd,805,4828980
marblefallsisd,1042,4829010
marengochsd154,2789,1724570
marengounionelementarycsd165,1525,
marfaisd,1076,4829040
marionisd,1985,4829100
marlinindependent,1890,
marquettealgerregionaleducationalserviceagency,1137,
marquette,1492,
marshallindependent,798,
martisd,2436,4829190
martin'smillisd,2240,
martinsvilleisd,1280,4829250
marym.knight,2077,
marysvilles,1172,
masonisd,1905,4829280
mason,1099,2103870
mathisindependent,2742,
mattawanconsolidated,1508,2623250
maudisd,1889,4829460
maypearlisd,863,4829580
mayvillecommunity,2352,2623280
maywood89,1713,
mcallenindependent,1045,
mccall-donnellyjt.no.421,2127,
mccameyisd,2015,4829700
mcdadeisd,2814,4829760
mcfarland,1757,5508910
mckinneyisd,2118,4829850
mcleanunitno.5,1482,
mcleanisd,2654,4829880
mcmullenisd,879,4829940
meadowisd,2250,4830000
medford,1173,2308140
medford,1545,2308140
medinaindependent,702,
medinavalleyisd,760,4830060
melissaisd,716,4830120
memphisisd,847,4830180
menahgapublic821,940,
mendoncommunity,1091,2623520
mendotaccsd289,2543,1725620
mendotahigh,1330,
mercedesisd,2182,4830250
meridiancusd223,1268,1725690
merkelindependent,1399,
mesavistaconsolidated,1974,
mesquiteisd,1314,4830390
metamoraccsd1,2386,1725740
metlakatlaindiancommunity,2581,
mexiaisd,1752,4830420
meyersvilleisd,2286,4830450
miamiindependent,1883,
michigancenter,1624,2623790
michiganindependentcolleges&universities,2174,
middleriograndedevelopmentcouncil,1582,
middletown,2423,902490
midlandindependent,641,
midlothianisd,1700,4830600
mid-stateeducation,1808,2700073
mid-valleyspecialeducationcooperative,1669,
midwayisd,728,4830640
midwestcentralcusd#191,1206,
milamappraisal,2998,
milamcommissionerscourt,3085,
milanoisd,1771,4830690
mildredisd,1032,4830720
milesisd,1337,4830750
millcreekacademy,2800,
millergroveisd,976,4830810
millingtoncommunity,2551,2623910
millsapisd,1603,4830870
millstadtccsd160,1486,1726190
miltonfreewater,1546,
mineolaindependent,2269,
mineralpoint,2067,
mineralwellsindependent,957,
mingusunionhigh4,2011,
minidoka,2041,
minneapolisboardofeducation,1807,
minnesotastateacademiesboard,1131,
minnewaskaarea,1335,
minookacommunityhigh,1417,
missionconsolidatedindependent,741,
mississippidepartmentofeducation,979,
mississippistateportauthority,1272,
mitchell,2678,1303690
mokena159,1269,1726370
molallariver,1539,
moline-coalvalleyno.40,1787,
monahans-wickett-pyoteisd,1958,4831170
monroe,1641,102400
montabellacommunity,1643,2612960
montcalmareaintermediate,1313,
montealtoisd,784,4831230
montevideo,2489,
montgomeryisd,2239,4831260
moodyindependent,2220,
moregroup,2782,
morrisarea,1596,2700383
morriselementary#54,1322,
morrow,1536,
motleyisd,1887,4831500
moultonisd,1960,4831560
mountclemenscommunity,1631,2624690
mountpleasantindependent,768,
mountpulaskicusd#23,2414,
"mountvernoncity,80",1806,
mt.pleasant,2679,
mt.vernonindependent,1766,
mt.vernontownshiphigh,1199,
muensterisd,1781,4831860
muleshoeindependent,1765,
mullinisd,1151,4831920
multnomaheducationservice,1538,
mundaycisd,1021,4831970
murchisonisd,2231,4832010
muskegonareaisd,1637,2680850
