LEA_NAME,LEAID,STATENAME,query_url
Madison County,102220,ALABAMA,https://go.boarddocs.com/vsba/madison/Board.nsf/Public
Alliance College-Ready Middle Academy 8 District,601589,CALIFORNIA,https://go.boarddocs.com/mo/mrhsd/Board.nsf/Public
SUNFLOWER CTY CONS SCHOOL DISTRICT,2800187,MISSISSIPPI,https://go.boarddocs.com/ga/fcss/Board.nsf/Public
Greenville Public Schools,2617160,MICHIGAN,https://go.boarddocs.com/mi/greenv/Board.nsf/Public
Holton Special Education Coop.,2000368,KANSAS,https://go.boarddocs.com/vsba/henrico/Board.nsf/Public
ALA Charlotte,3700350,NORTH CAROLINA,https://go.boarddocs.com/nc/cmsnc/Board.nsf/Public
Propel CS-East,4200135,PENNSYLVANIA,https://go.boarddocs.com/pa/phsd/Board.nsf/Public
Prairie Lakes Educational Cooperative,4600050,SOUTH DAKOTA,https://go.boarddocs.com/wi/wwusd/Board.nsf/Public
Milestone Democratic School Inc,5500085,WISCONSIN,https://go.boarddocs.com/fla/lake/Board.nsf/Public
Palisades Charter High District,601488,CALIFORNIA,https://go.boarddocs.com/pa/pali/Board.nsf/Public
The NET2 High School,2200293,LOUISIANA,https://go.boarddocs.com/la/bese/Board.nsf/Public
Fond du Lac Ojibwe School,5900135,BUREAU OF INDIAN EDUCATION,https://go.boarddocs.com/wi/glenwood/Board.nsf/Public
Kane District,4900480,UTAH,https://go.boarddocs.com/pa/kanepa/Board.nsf/Public
Northwest Tri-County IU 5,4289150,PENNSYLVANIA,https://go.boarddocs.com/pa/iu05/Board.nsf/Public
Battle Creek Montessori Academy,2601055,MICHIGAN,https://go.boarddocs.com/mi/bcmontessori/Board.nsf/Public
PIONEER-PLEASANT VALE,4024510,OKLAHOMA,https://go.boarddocs.com/sd/meade/Board.nsf/Public
East Peoria SD 86,1713240,ILLINOIS,https://go.boarddocs.com/il/hinsdale86/Board.nsf/Public
Wayne Township Public School District,3417280,NEW JERSEY,https://go.boarddocs.com/nj/waynetps/Board.nsf/Public
Ashford School District,900090,CONNECTICUT,https://go.boarddocs.com/mo/psdr3/Board.nsf/Public
West Branch-Rose City Area Schools,2635850,MICHIGAN,https://go.boarddocs.com/mi/wbrc/Board.nsf/Public
Santee,635880,CALIFORNIA,https://go.boarddocs.com/pa/lehc/Board.nsf/Public
GALLATIN R-V,2912660,MISSOURI,https://go.boarddocs.com/mo/foxc6/Board.nsf/Public
