,LEA_NAME,LEAID,STATENAME
442,Portable Practical Educational Preparation Inc. ( (87405),400432,ARIZONA
443,Santa Cruz County Regional School District (85848),400434,ARIZONA
444,Imagine Charter Elementary at Desert West Inc. (88367),400438,ARIZONA
445,Desert Star Community School Inc. (88321),400439,ARIZONA
446,Chandler Preparatory Academy (88299),400440,ARIZONA
447,Imagine Middle at Surprise Inc. (88372),400441,ARIZONA
448,Imagine Middle at East Mesa Inc. (88369),400442,ARIZONA
449,Prescott Valley Charter School (88317),400444,ARIZONA
450,Imagine Charter Elementary at Camelback Inc. (88365),400445,ARIZONA
451,American Charter Schools Foundation d.b.a. South R (88334),400447,ARIZONA
452,Desert Sky Community School Inc. (88308),400448,ARIZONA
453,Agua Fria Union High School District (4289),400450,ARIZONA
454,Arizona State Hospital (6415),400455,ARIZONA
455,Graham County Juvenile Detention (79539),400456,ARIZONA
456,Cochise County Juvenile Detention (79462),400457,ARIZONA
457,Yuma County Juvenile Justice Center (79524),400458,ARIZONA
458,Maricopa County Sheriffs Office (79540),400459,ARIZONA
459,Yavapai County Juvenile Justice Center (79533),400460,ARIZONA
460,Mohave County Juvenile Detention (79589),400461,ARIZONA
461,Arizona State Schools for the Deaf and the Blind (6393),400463,ARIZONA
462,Aguila Elementary District (4249),400480,ARIZONA
463,Ajo Unified District (4409),400520,ARIZONA
464,Alhambra Elementary District (4280),400600,ARIZONA
465,Eagle Elementary District (4232),400607,ARIZONA
466,BASIS Charter Schools Inc. (81078),400608,ARIZONA
467,Desert Heights Charter Schools (81099),400610,ARIZONA
468,Northeast Arizona Technological Institute of Vocat (81114),400612,ARIZONA
469,Educational Impact Inc. (81123),400613,ARIZONA
470,MCCCD on behalf of Phoenix College Preparatory Aca (81174),400614,ARIZONA
471,West-MEC - Western Maricopa Education Center (80923),400615,ARIZONA
472,New School for the Arts Middle School (80985),400616,ARIZONA
473,American Charter Schools Foundation d.b.a. South P (80989),400618,ARIZONA
474,American Charter Schools Foundation d.b.a. Alta Vi (80995),400619,ARIZONA
475,Pinnacle Education-Tempe Inc. (81001),400621,ARIZONA
476,Pinnacle Education-Kino Inc. (81009),400625,ARIZONA
477,Pinnacle Education-Casa Grande Inc. (81011),400626,ARIZONA
478,Alpine Elementary District (4161),400630,ARIZONA
479,Cochise Community Development Corporation (81027),400632,ARIZONA
480,Canyon Rose Academy Inc. (81029),400633,ARIZONA
481,Blueprint Education (81041),400636,ARIZONA
482,Edkey Inc. - Redwood Academy (81043),400637,ARIZONA
483,Edkey Inc. - Pathfinder Academy (81045),400638,ARIZONA
484,Edkey Inc. - Sequoia School for the Deaf and Hard (81050),400640,ARIZONA
485,Edkey Inc. - Sequoia Ranch School (81052),400641,ARIZONA
486,Heritage Elementary School (81076),400649,ARIZONA
487,Integrity Education Incorporated (5174),400650,ARIZONA
488,Edkey Inc. dba Arizona Conservatory for Arts and  (79981),400653,ARIZONA
489,Veritas Preparatory Academy (80992),400655,ARIZONA
490,RSD Charter School Inc. (81033),400656,ARIZONA
491,Amphitheater Unified District (4406),400680,ARIZONA
492,Antelope Union High School District (4506),400720,ARIZONA
493,Legacy Traditional School - Maricopa (88360),400745,ARIZONA
494,Eduprize Schools LLC (89412),400746,ARIZONA
495,Scottsdale Preparatory Academy (89756),400747,ARIZONA
496,Sage Academy Inc. (89414),400748,ARIZONA
497,Apache Elementary District (4178),400750,ARIZONA
498,Concordia Charter School Inc. (89556),400751,ARIZONA
499,Pima County JTED (89380),400752,ARIZONA
500,Imagine Desert West Middle Inc. (89563),400754,ARIZONA
501,Freedom Academy Inc. (89506),400755,ARIZONA
502,Imagine Camelback Middle Inc. (89561),400756,ARIZONA
503,Arete Preparatory Academy (89486),400757,ARIZONA
504,Candeo Schools Inc. (89758),400758,ARIZONA
505,Glendale Preparatory Academy (89829),400760,ARIZONA
506,Graham County School Superintendent (79543),400762,ARIZONA
507,EAGLE South Mountain Charter Inc. (89850),400763,ARIZONA
508,ASU Preparatory Academy (89949),400764,ARIZONA
509,Gila County Sheriff's Office (79544),400765,ARIZONA
510,Imagine Coolidge Elementary Inc. (89786),400766,ARIZONA
511,Gila County Juvenile Detention (79494),400767,ARIZONA
512,Pima Prevention Partnership dba Pima Partnership A (89864),400768,ARIZONA
513,Imagine Prep Coolidge Inc. (90034),400769,ARIZONA
514,Imagine Prep Surprise Inc. (89790),400770,ARIZONA
515,Blue Adobe Project (89871),400771,ARIZONA
516,Mountain Institute CTED #2 (90090),400772,ARIZONA
517,Yuma County Sheriff's Office (79472),400773,ARIZONA
518,Daisy Education Corporation dba Sonoran Science Ac (89915),400774,ARIZONA
519,San Tan Montessori School Inc. (89798),400775,ARIZONA
520,Daisy Education Corporation dba Sonoran Science Ac (89914),400776,ARIZONA
521,Santa Cruz County Sheriff's Office (79473),400777,ARIZONA
522,Daisy Education Corporation dba Paragon Science Ac (89917),400778,ARIZONA
523,Greenlee County Sheriff's Office (79542),400779,ARIZONA
524,Imagine Avondale Elementary Inc. (89784),400780,ARIZONA
525,Math and Science Success Academy Inc. (89852),400781,ARIZONA
526,Haven Montessori Children's House Inc. (89951),400782,ARIZONA
527,Imagine Prep Superstition Inc. (89788),400783,ARIZONA
528,AZ Compass Schools Inc. (89869),400785,ARIZONA
529,West Valley Arts and Technology Academy Inc. (90036),400786,ARIZONA
530,Kaizen Education Foundation dba Vista Grove Prepar (90330),400787,ARIZONA
531,ASU Preparatory Academy (90273),400788,ARIZONA
532,Kaizen Education Foundation dba Liberty Arts Acade (90334),400789,ARIZONA
533,Apache Junction Unified District (4443),400790,ARIZONA
534,Vector School District Inc. (90317),400792,ARIZONA
535,Sun Valley Academy - South Mountain Inc. (90192),400793,ARIZONA
536,Western Arizona Vocational District #50 (90123),400794,ARIZONA
537,CAFA Inc. dba Learning Foundation and Performing  (90328),400796,ARIZONA
538,Academy Del Sol Inc. (90199),400797,ARIZONA
539,Pioneer Preparatory School (90140),400798,ARIZONA
540,Kaizen Education Foundation dba Gilbert Arts Acade (90333),400799,ARIZONA
