school_district,state
"Deptford Township School District, New Jersey",New_Jersey
"Oceanport Borough School District, New Jersey",New_Jersey
"Pequannock Township School District, New Jersey",New_Jersey
"East Orange School District, New Jersey",New_Jersey
"Roosevelt Public School District, New Jersey",New_Jersey
"Jersey City Public Schools, New Jersey",New_Jersey
"Irvington Public Schools, New Jersey",New_Jersey
"Roseland School District, New Jersey",New_Jersey
"Neptune Township School District, New Jersey",New_Jersey
"Kingwood Township School District, New Jersey",New_Jersey
"Tinton Falls School District, New Jersey",New_Jersey
"Woodbridge Township School District, New Jersey",New_Jersey
"Hunterdon Central Regional High School District, New Jersey",New_Jersey
"Maywood Public Schools, New Jersey",New_Jersey
"Manalapan-Englishtown Regional School District, New Jersey",New_Jersey
"Ocean Township School District, New Jersey",New_Jersey
"Paterson Public Schools, New Jersey",New_Jersey
"Parsippany-Troy Hills School District, New Jersey",New_Jersey
"Mansfield Township School District (Warren County), New Jersey",New_Jersey
"Eatontown Public Schools, New Jersey",New_Jersey
"Woodland Township School District, New Jersey",New_Jersey
"Newton Public School District, New Jersey",New_Jersey
"Little Ferry Public Schools, New Jersey",New_Jersey
"Egg Harbor Township School District, New Jersey",New_Jersey
"Wharton Borough School District, New Jersey",New_Jersey
"Kingsway Regional School District, New Jersey",New_Jersey
"West Essex Regional School District, New Jersey",New_Jersey
"Bedminster Township School District, New Jersey",New_Jersey
"Bergenfield Public School District, New Jersey",New_Jersey
"Berlin Borough School District, New Jersey",New_Jersey
"Hammonton Public Schools, New Jersey",New_Jersey
"Deal School District, New Jersey",New_Jersey
"Bethlehem Township School District, New Jersey",New_Jersey
"Haddon Heights School District, New Jersey",New_Jersey
"Roxbury Township School District, New Jersey",New_Jersey
"Bloomfield School District, New Jersey",New_Jersey
"Bogota Public School District, New Jersey",New_Jersey
"Bound Brook School District, New Jersey",New_Jersey
"Oldmans Township School District, New Jersey",New_Jersey
"East Newark School District, New Jersey",New_Jersey
"Springfield Public Schools, New Jersey",New_Jersey
"Manchester Township School District, New Jersey",New_Jersey
"Linden Public Schools, New Jersey",New_Jersey
"Caldwell-West Caldwell Public Schools, New Jersey",New_Jersey
"Pleasantville Public Schools, New Jersey",New_Jersey
"Lawnside School District, New Jersey",New_Jersey
"Delaware Township School District, New Jersey",New_Jersey
"Rumson-Fair Haven Regional High School District, New Jersey",New_Jersey
"Summit Public Schools, New Jersey",New_Jersey
"Southern Regional School District, New Jersey",New_Jersey
"North Brunswick Township Schools, New Jersey",New_Jersey
"Flemington-Raritan Regional School District, New Jersey",New_Jersey
"Barnegat Township School District, New Jersey",New_Jersey
"Henry Hudson Regional School District, New Jersey",New_Jersey
"Pohatcong Township School District, New Jersey",New_Jersey
"Boonton Public Schools, New Jersey",New_Jersey
"Green Brook School District, New Jersey",New_Jersey
"Brigantine Public Schools, New Jersey",New_Jersey
"Merchantville School District, New Jersey",New_Jersey
"Burlington City School District, New Jersey",New_Jersey
"West Milford Township Public Schools, New Jersey",New_Jersey
"Gloucester City Public Schools, New Jersey",New_Jersey
"Riverton School District, New Jersey",New_Jersey
"Butler Public Schools, New Jersey",New_Jersey
"Ringwood School District, New Jersey",New_Jersey
"Woodbury Heights School District, New Jersey",New_Jersey
"Egg Harbor City School District, New Jersey",New_Jersey
"North Bergen School District, New Jersey",New_Jersey
"Carlstadt-East Rutherford Regional School District, New Jersey",New_Jersey
"Cedar Grove School District, New Jersey",New_Jersey
"Kenilworth Public Schools, New Jersey",New_Jersey
"Medford Township Public Schools, New Jersey",New_Jersey
"Wildwood Crest School District, New Jersey",New_Jersey
"Clark Public School District, New Jersey",New_Jersey
"Hampton Borough School District, New Jersey",New_Jersey
"Guttenberg Public School District, New Jersey",New_Jersey
"Clayton Public School District, New Jersey",New_Jersey
"Lumberton Township School District, New Jersey",New_Jersey
"Clinton-Glen Gardner School District, New Jersey",New_Jersey
"Deerfield Township School District, New Jersey",New_Jersey
"Shore Regional High School District, New Jersey",New_Jersey
"Collingswood Public Schools, New Jersey",New_Jersey
"Commercial Township School District, New Jersey",New_Jersey
"Glen Ridge Public Schools, New Jersey",New_Jersey
"Glen Rock Public Schools, New Jersey",New_Jersey
"Lindenwold Public Schools, New Jersey",New_Jersey
"Montague Township School District, New Jersey",New_Jersey
"Harrison Township School District, New Jersey",New_Jersey
"Highlands School District, New Jersey",New_Jersey
"Wood-Ridge School District, New Jersey",New_Jersey
"Delanco Township School District, New Jersey",New_Jersey
"Gateway Regional School District, New Jersey",New_Jersey
"Pompton Lakes School District, New Jersey",New_Jersey
"Somers Point School District, New Jersey",New_Jersey
"North Caldwell Public Schools, New Jersey",New_Jersey
"East Amwell Township School District, New Jersey",New_Jersey
"East Windsor Regional School District, New Jersey",New_Jersey
"Monmouth Beach School District, New Jersey",New_Jersey
"Eastern Camden County Regional School District, New Jersey",New_Jersey
"Evesham Township School District, New Jersey",New_Jersey
"Mountainside School District, New Jersey",New_Jersey
"Elsinboro Township School District, New Jersey",New_Jersey
"Englewood Public School District, New Jersey",New_Jersey
"Long Hill Township School District, New Jersey",New_Jersey
"Upper Township School District, New Jersey",New_Jersey
"Mannington Township School District, New Jersey",New_Jersey
"Farmingdale Public School District, New Jersey",New_Jersey
"Hamburg Borough School District, New Jersey",New_Jersey
"Upper Freehold Regional School District, New Jersey",New_Jersey
"Florham Park School District, New Jersey",New_Jersey
"New Providence School District, New Jersey",New_Jersey
"South Harrison Township School District, New Jersey",New_Jersey
"New Brunswick Public Schools, New Jersey",New_Jersey
"Oaklyn Borough School District, New Jersey",New_Jersey
"Frankford Township School District, New Jersey",New_Jersey
"Middlesex County Vocational and Technical High Schools, New Jersey",New_Jersey
"Stone Harbor School District, New Jersey",New_Jersey
"Keansburg School District, New Jersey",New_Jersey
"Frelinghuysen Township School District, New Jersey",New_Jersey
"Garwood School District, New Jersey",New_Jersey
"Orange Public Schools, New Jersey",New_Jersey
"North Warren Regional School District, New Jersey",New_Jersey
"Gloucester Township Public Schools, New Jersey",New_Jersey
"Great Meadows Regional School District, New Jersey",New_Jersey
"Manchester Regional High School District, New Jersey",New_Jersey
"Middletown Township School District, New Jersey",New_Jersey
"Milltown Public Schools, New Jersey",New_Jersey
"Paramus Public Schools, New Jersey",New_Jersey
"Hanover Township Public Schools, New Jersey",New_Jersey
"Plainfield Public School District, New Jersey",New_Jersey
"Harmony Township School District, New Jersey",New_Jersey
"Mount Arlington School District, New Jersey",New_Jersey
"Lambertville City School District, New Jersey",New_Jersey
"High Point Regional School District, New Jersey",New_Jersey
"Sandyston-Walpack Consolidated School District, New Jersey",New_Jersey
"Ho-Ho-Kus School District, New Jersey",New_Jersey
"Totowa Borough Public Schools, New Jersey",New_Jersey
"River Dell Regional School District, New Jersey",New_Jersey
"Wildwood Public School District, New Jersey",New_Jersey
"Lacey Township School District, New Jersey",New_Jersey
"Manasquan Public Schools, New Jersey",New_Jersey
"West Amwell Township School District, New Jersey",New_Jersey
"Lakeland Regional High School District, New Jersey",New_Jersey
"Somerdale School District, New Jersey",New_Jersey
"Lenape Regional High School District, New Jersey",New_Jersey
"West Morris Regional High School District, New Jersey",New_Jersey
"Lincoln Park Public Schools, New Jersey",New_Jersey
"Linwood Public Schools, New Jersey",New_Jersey
"West New York School District, New Jersey",New_Jersey
"Lopatcong Township School District, New Jersey",New_Jersey
"Paulsboro Public Schools, New Jersey",New_Jersey
"Willingboro Township Public Schools, New Jersey",New_Jersey
"Trenton Public Schools, New Jersey",New_Jersey
"Netcong School District, New Jersey",New_Jersey
"Milford Borough School District, New Jersey",New_Jersey
"Sea Girt Elementary School District, New Jersey",New_Jersey
"Montvale Public Schools, New Jersey",New_Jersey
"Morris Plains Schools, New Jersey",New_Jersey
"Mount Holly Township Public Schools, New Jersey",New_Jersey
"White Township Consolidated School District, New Jersey",New_Jersey
"National Park School District, New Jersey",New_Jersey
"Neptune City School District, New Jersey",New_Jersey
"North Hunterdon-Voorhees Regional High School District, New Jersey",New_Jersey
"Spring Lake Borough School District, New Jersey",New_Jersey
"Oakland Public Schools, New Jersey",New_Jersey
"Upper Deerfield Township Schools, New Jersey",New_Jersey
"Ocean City School District, New Jersey",New_Jersey
"Woodbine School District, New Jersey",New_Jersey
"Vernon Township School District, New Jersey",New_Jersey
"Alamogordo Public Schools, New Mexico",New_Mexico
"Cobre Consolidated Schools, New Mexico",New_Mexico
"Maxwell Municipal Schools, New Mexico",New_Mexico
"Animas Public Schools, New Mexico",New_Mexico
"Central Consolidated Schools, New Mexico",New_Mexico
"Eunice Municipal Schools, New Mexico",New_Mexico
"Texico Municipal Schools, New Mexico",New_Mexico
"Artesia Public Schools, New Mexico",New_Mexico
"Capitan Municipal Schools, New Mexico",New_Mexico
"Los Lunas Public Schools, New Mexico",New_Mexico
"Wagon Mound Public Schools, New Mexico",New_Mexico
"Albuquerque Public Schools, New Mexico",New_Mexico
"Logan Municipal Schools, New Mexico",New_Mexico
"Aztec Municipal Schools, New Mexico",New_Mexico
"Clovis Municipal Schools, New Mexico",New_Mexico
"Los Alamos Public Schools, New Mexico",New_Mexico
"Belen Consolidated Schools, New Mexico",New_Mexico
"Bernalillo Public Schools, New Mexico",New_Mexico
"Mosquero Municipal Schools, New Mexico",New_Mexico
"Carrizozo Municipal Schools, New Mexico",New_Mexico
"Deming Public Schools, New Mexico",New_Mexico
"Clayton Public Schools, New Mexico",New_Mexico
"Cloudcroft Municipal Schools, New Mexico",New_Mexico
"Corona Municipal Schools, New Mexico",New_Mexico
"Dexter Consolidated Schools, New Mexico",New_Mexico
"Estancia Municipal Schools, New Mexico",New_Mexico
"Farmington Municipal Schools, New Mexico",New_Mexico
"Grants-Cibola County Schools, New Mexico",New_Mexico
"Tucumcari Public Schools, New Mexico",New_Mexico
"Tularosa Municipal Schools, New Mexico",New_Mexico
"Hondo Valley Public Schools, New Mexico",New_Mexico
"West Las Vegas Public Schools, New Mexico",New_Mexico
"Mountainair Public Schools, New Mexico",New_Mexico
"Pojoaque Valley Public Schools, New Mexico",New_Mexico
"Santa Rosa Consolidated Schools, New Mexico",New_Mexico
"Pecos Independent Schools, New Mexico",New_Mexico
"Gallup-McKinley County Schools, New Mexico",New_Mexico
"Hatch Valley Municipal Schools, New Mexico",New_Mexico
"Tatum Municipal Schools, New Mexico",New_Mexico
"Lordsburg Municipal Schools, New Mexico",New_Mexico
"Lovington Public Schools, New Mexico",New_Mexico
"Quemado Independent Schools, New Mexico",New_Mexico
"Bloomfield Municipal Schools, New Mexico",New_Mexico
"Hobbs Municipal Schools, New Mexico",New_Mexico
"Carlsbad Municipal Schools, New Mexico",New_Mexico
"Elida Municipal Schools, New Mexico",New_Mexico
"Chama Valley Independent Schools, New Mexico",New_Mexico
"Roy Municipal Schools, New Mexico",New_Mexico
"Cimarron Municipal Schools, New Mexico",New_Mexico
"Magdalena Municipal Schools, New Mexico",New_Mexico
"Cuba Independent Schools, New Mexico",New_Mexico
"Des Moines Municipal Schools, New Mexico",New_Mexico
"Loving Municipal Schools, New Mexico",New_Mexico
"Dora Consolidated Schools, New Mexico",New_Mexico
"Springer Municipal Schools, New Mexico",New_Mexico
"Española Municipal Schools, New Mexico",New_Mexico
"San Jon Municipal Schools, New Mexico",New_Mexico
"Dulce Independent Schools, New Mexico",New_Mexico
"Peñasco Independent Schools, New Mexico",New_Mexico
"Gadsden Independent Schools, New Mexico",New_Mexico
"Santa Fe Public Schools, New Mexico",New_Mexico
"Melrose Public Schools, New Mexico",New_Mexico
"Mesa Vista Consolidated Schools, New Mexico",New_Mexico
"Ruidoso Municipal Schools, New Mexico",New_Mexico
"Floyd Municipal Schools, New Mexico",New_Mexico
"Fort Sumner Municipal Schools, New Mexico",New_Mexico
"Mora Independent Schools, New Mexico",New_Mexico
"Grady Municipal Schools, New Mexico",New_Mexico
"Raton Public Schools, New Mexico",New_Mexico
"House Municipal Schools, New Mexico",New_Mexico
"Silver Consolidated Schools, New Mexico",New_Mexico
"Socorro Consolidated Schools, New Mexico",New_Mexico
"Truth or Consequences Municipal Schools, New Mexico",New_Mexico
"Jemez Valley Public Schools, New Mexico",New_Mexico
"Lake Arthur Municipal Schools, New Mexico",New_Mexico
"Las Cruces Public Schools, New Mexico",New_Mexico
"Roswell Independent Schools, New Mexico",New_Mexico
"Zuni Public Schools, New Mexico",New_Mexico
"Hagerman Municipal Schools, New Mexico",New_Mexico
"Las Vegas City Public Schools, New Mexico",New_Mexico
"Portales Municipal Schools, New Mexico",New_Mexico
"Reserve Independent Schools, New Mexico",New_Mexico
"Jemez Mountain Public Schools, New Mexico",New_Mexico
"Vaughn Municipal Schools, New Mexico",New_Mexico
"Jal Public Schools, New Mexico",New_Mexico
"Taos Municipal Schools, New Mexico",New_Mexico
"Rio Rancho Public Schools, New Mexico",New_Mexico
"Moriarty-Edgewood School District, New Mexico",New_Mexico
"Questa Independent Schools, New Mexico",New_Mexico
"Abbott Union Free School District, New York",New_York
"Windham-Ashland-Jewett Central School District, New York",New_York
"Morristown Central School District, New York",New_York
"Vernon-Verona-Sherrill Central School District, New York",New_York
"Westbury Union Free School District, New York",New_York
"Maine-Endwell Central School District, New York",New_York
"Otselic Valley Central School District, New York",New_York
"Addison Central School District, New York",New_York
"Adirondack Central School District, New York",New_York
"Batavia City School District, New York",New_York
"Island Trees Union Free School District, New York",New_York
"Afton Central School District, New York",New_York
"Wyoming Central School District, New York",New_York
"Akron Central School District, New York",New_York
"Troy City School District, New York",New_York
"Albany City School District, New York",New_York
"Lyons Central School District, New York",New_York
"Albion Central School District, New York",New_York
"Windsor Central School District, New York",New_York
"Rensselaer City School District, New York",New_York
"Alden Central School District, New York",New_York
"Alexander Central School District, New York",New_York
"Gates Chili Central School District, New York",New_York
"Shelter Island Union Free School District, New York",New_York
"Amherst Central School District, New York",New_York
"Andover Central School District, New York",New_York
"West Canada Valley Central School District, New York",New_York
"Liverpool Central School District, New York",New_York
"Arlington Central School District, New York",New_York
"Glen Cove City School District, New York",New_York
"Auburn Enlarged City School District, New York",New_York
"Highland Falls-Fort Montgomery Central School District, New York",New_York
"Avon Central School District, New York",New_York
"Baldwinsville Central School District, New York",New_York
"Ballston Spa Central School District, New York",New_York
"Saugerties Central School District, New York",New_York
"Carle Place Union Free School District, New York",New_York
"Plainedge Union Free School District, New York",New_York
"Tonawanda City School District, New York",New_York
"Oneida City School District, New York",New_York
"Union-Endicott Central School District, New York",New_York
"Belfast Central School District, New York",New_York
"Montauk Union Free School District, New York",New_York
"Bemus Point Central School District, New York",New_York
"Berne-Knox-Westerlo Central School District, New York",New_York
"Blind Brook-Rye Union Free School District, New York",New_York
"Valley Stream Union Free School District 30, New York",New_York
"Riverhead Central School District, New York",New_York
"Bridgehampton Union Free School District, New York",New_York
"Brewster Central School District, New York",New_York
"Long Beach City School District, New York",New_York
"Brockport Central School District, New York",New_York
"Brookfield Central School District, New York",New_York
"Schalmont Central School District, New York",New_York
"Byram Hills Central School District, New York",New_York
"Canandaigua City School District, New York",New_York
"East Hampton Union Free School District, New York",New_York
"Enlarged City School District of Middletown, New York",New_York
"Canaseraga Central School District, New York",New_York
"Valley Stream Central High School District, New York",New_York
"Canastota Central School District, New York",New_York
"Canisteo-Greenwood Central School District, New York",New_York
"Copiague Union Free School District, New York",New_York
"Chateaugay Central School District, New York",New_York
"Cattaraugus-Little Valley Central School District, New York",New_York
"Levittown Union Free School District, New York",New_York
"Central Square School District, New York",New_York
"Chappaqua Central School District, New York",New_York
"Chatham Central School District, New York",New_York
"South Jefferson Central School District, New York",New_York
"Cincinnatus Central School District, New York",New_York
"Chenango Forks Central School District, New York",New_York
"Pearl River Union Free School District, New York",New_York
"Cherry Valley-Springfield Central School District, New York",New_York
"Chittenango Central School District, New York",New_York
"Delhi Central School District, New York",New_York
"Liberty Central School District, New York",New_York
"Cleveland Hill Union Free School District, New York",New_York
"Clyde-Savannah Central School District, New York",New_York
"Clymer Central School District, New York",New_York
"Malverne Union Free School District, New York",New_York
"South Seneca Central School District, New York",New_York
"Mamaroneck Union Free School District, New York",New_York
"Wyandanch Union Free School District, New York",New_York
"DeRuyter Central School District, New York",New_York
"Mayfield Central School District, New York",New_York
"Cohoes City School District, New York",New_York
"Commack School District, New York",New_York
"Croton-Harmon Union Free School District, New York",New_York
"Comsewogue School District, New York",New_York
"Livingston Manor Central School District, New York",New_York
"Southampton Union Free School District, New York",New_York
"Corinth Central School District, New York",New_York
"Coxsackie-Athens Central School District, New York",New_York
"Dansville Central School District, New York",New_York
"Trumansburg Central School District, New York",New_York
"Deer Park Union Free School District, New York",New_York
"Depew Union Free School District, New York",New_York
"Deposit Central School District, New York",New_York
"Dobbs Ferry Union Free School District, New York",New_York
"Dolgeville Central School District, New York",New_York
"Downsville Central School District, New York",New_York
"Southold Union Free School District, New York",New_York
"East Irondequoit Central School District, New York",New_York
"Poland Central School District, New York",New_York
"East Syracuse-Minoa Central School District, New York",New_York
"East Williston Union Free School District, New York",New_York
"Edgemont School District, New York",New_York
"Edinburg Common School District, New York",New_York
"Edwards-Knox Central School District, New York",New_York
"Ellenville Central School District, New York",New_York
"Williamsville Central School District, New York",New_York
"Elmira City School District, New York",New_York
"Elmont Union Free School District, New York",New_York
"Elwood Union Free School District, New York",New_York
"Fairport Central School District, New York",New_York
"Fallsburg Central School District, New York",New_York
"Florida Union Free School District, New York",New_York
"Fort Edward Union Free School District, New York",New_York
"Washingtonville Central School District, New York",New_York
"Franklinville Central School District, New York",New_York
"Fredonia Central School District, New York",New_York
"Frewsburg Central School District, New York",New_York
"Madrid-Waddington Central School District, New York",New_York
"Harrisville Central School District, New York",New_York
"Garrison Union Free School District, New York",New_York
"Geneseo Central School District, New York",New_York
"George Junior Republic Union Free School District, New York",New_York
"Greenport Union Free School District, New York",New_York
"Ichabod Crane Central School District, New York",New_York
"Gilbertsville-Mount Upton Central School District, New York",New_York
"Morrisville-Eaton Central School District, New York",New_York
"Grand Island Central School District, New York",New_York
"Indian Lake Central School District, New York",New_York
"Poughkeepsie City School District, New York",New_York
"Greenburgh Eleven Union Free School District, New York",New_York
"Greenburgh-Graham Union Free School District, New York",New_York
"Greenville Central School District, New York",New_York
"Greenwich Central School District, New York",New_York
"Wheatland-Chili Central School District, New York",New_York
"Groton Central School District, New York",New_York
"Haldane Central School District, New York",New_York
"Half Hollow Hills Central School District, New York",New_York
"Hammond Central School District, New York",New_York
"Hammondsport Central School District, New York",New_York
"Hancock Central School District, New York",New_York
"Hannibal Central School District, New York",New_York
"North Babylon Union Free School District, New York",New_York
"Hauppauge Union Free School District, New York",New_York
"Piseco Common School District, New York",New_York
"Willsboro Central School District, New York",New_York
"Homer Central School District, New York",New_York
"Newark Central School District, New York",New_York
"Hoosic Valley Central School District, New York",New_York
"Hornell City School District, New York",New_York
"Stillwater Central School District, New York",New_York
"Tuxedo Union Free School District, New York",New_York
"Springville-Griffith Institute Central School District, New York",New_York
"Hyde Park Central School District, New York",New_York
"Victor Central School District, New York",New_York
"Iroquois Central School District, New York",New_York
"Ithaca City School District, New York",New_York
"Jamesville-DeWitt Central School District, New York",New_York
"Longwood Central School District, New York",New_York
"Keshequa Central School District, New York",New_York
"Pocantico Hills Central School District, New York",New_York
"Owego Apalachin Central School District, New York",New_York
"Lancaster Central School District, New York",New_York
"Lansing Central School District, New York",New_York
"Laurens Central School District, New York",New_York
"Le Roy Central School District, New York",New_York
"Lawrence Union Free School District, New York",New_York
"Bronxville Union Free School District, New York",New_York
"Lynbrook Union Free School District, New York",New_York
"Lyncourt Union Free School District, New York",New_York
"Lyndonville Central School District, New York",New_York
"Ticonderoga Central School District, New York",New_York
"North Bellmore Union Free School District, New York",New_York
"Manchester-Shortsville Central School District, New York",New_York
"Wayne Central School District, New York",New_York
"Northport-East Northport Union Free School District, New York",New_York
"Valhalla Union Free School District, New York",New_York
"Oxford Academy and Central School District, New York",New_York
"Mexico Academy and Central School District, New York",New_York
"Union Free School District of the Tarrytowns, New York",New_York
"Minerva Central School District, New York",New_York
"Rockville Centre Union Free School District, New York",New_York
"Perry Central School District, New York",New_York
"Unadilla Valley Central School District, New York",New_York
"Unatego Central School District, New York",New_York
"North Colonie Central School District, New York",New_York
"Ravena-Coeymans-Selkirk Central School District, New York",New_York
"Northville Central School District, New York",New_York
"Nyack Union Free School District, New York",New_York
"South Huntington Union Free School District, New York",New_York
"Red Creek Central School District, New York",New_York
"South Kortright Central School District, New York",New_York
"Ossining Union Free School District, New York",New_York
"Pembroke Central School District, New York",New_York
"Spencerport Central School District, New York",New_York
"Weedsport Central School District, New York",New_York
"Roxbury Central School District, New York",New_York
"Wells Central School District, New York",New_York
"West Seneca Central School District, New York",New_York
"Rye City School District, New York",New_York
"Sackets Harbor Central School District, New York",New_York
"Sag Harbor Union Free School District, New York",New_York
"Madison Central School District, New York",New_York
"Watkins Glen Central School District, New York",New_York
"Miller Place Union Free School District, New York",New_York
"Morris Central School District, New York",New_York
"Hawthorne Cedar Knolls Union Free School District, New York",New_York
"Amityville Union Free School District, New York",New_York
"Fort Ann Central School District, New York",New_York
"Gloversville Enlarged School District, New York",New_York
"Farmingdale Union Free School District, New York",New_York
"West Islip Union Free School District, New York",New_York
"Hudson City School District, New York",New_York
"Port Byron Central School District, New York",New_York
"Alexandria Central School District, New York",New_York
"Niagara-Wheatfield Central School District, New York",New_York
"Oysterponds Union Free School District, New York",New_York
"Granville Central School District, New York",New_York
"Newfane Central School District, New York",New_York
"Salamanca City Central School District, New York",New_York
"Allegany-Limestone Central School District, New York",New_York
"Altmar-Parish-Williamstown Central School District, New York",New_York
"Pawling Central School District, New York",New_York
"Mount Sinai Union Free School District, New York",New_York
"Amagansett Union Free School District, New York",New_York
"Andes Central School District, New York",New_York
"Catskill Central School District, New York",New_York
"Franklin Central School District, New York",New_York
"Southwestern Central School District, New York",New_York
"Menands Union Free School District, New York",New_York
"Alfred-Almond Central School District, New York",New_York
"Penfield Central School District, New York",New_York
"Stockbridge Valley Central School District, New York",New_York
"Odessa-Montour Central School District, New York",New_York
"Gilboa-Conesville Central School District, New York",New_York
"Gananda Central School District, New York",New_York
"West Irondequoit Central School District, New York",New_York
"Beacon City School District, New York",New_York
"Beaver River Central School District, New York",New_York
"Ogdensburg City School District, New York",New_York
"Beekmantown Central School District, New York",New_York
"Chenango Valley Central School District, New York",New_York
"Berlin Central School District, New York",New_York
"Bethlehem Central School District, New York",New_York
"Bloomfield Central School District, New York",New_York
"Fire Island Union Free School District, New York",New_York
"Bradford Central School District, New York",New_York
"Byron-Bergen Central School District, New York",New_York
"Brasher Falls Central School District, New York",New_York
"Copenhagen Central School District, New York",New_York
"Broadalbin-Perth Central School District, New York",New_York
"Brocton Central School District, New York",New_York
"Carmel Central School District, New York",New_York
"Hempstead Union Free School District, New York",New_York
"South Colonie Central School District, New York",New_York
"Brushton-Moira Central School District, New York",New_York
"Goshen Central School District, New York",New_York
"Burnt Hills-Ballston Lake Central School District, New York",New_York
"Port Chester School District, New York",New_York
"Cheektowaga Central School District, New York",New_York
"Cairo-Durham Central School District, New York",New_York
"Cambridge Central School District, New York",New_York
"Edmeston Central School District, New York",New_York
"Camden Central School District, New York",New_York
"Campbell-Savona Central School District, New York",New_York
"Lackawanna City School District, New York",New_York
"West Babylon School District, New York",New_York
"Canajoharie Central School District, New York",New_York
"Jericho Union Free School District, New York",New_York
"Highland Central School District, New York",New_York
"Oceanside Union Free School District, New York",New_York
"Canton Central School District, New York",New_York
"Carthage Central School District, New York",New_York
"Cato-Meridian Central School District, New York",New_York
"Johnsburg Central School District, New York",New_York
"Rocky Point Union Free School District, New York",New_York
"Corning-Painted Post Area School District, New York",New_York
"Eastport-South Manor Central School District, New York",New_York
"Dundee Central School District, New York",New_York
"Niagara Falls City School District, New York",New_York
"Charlotte Valley Central School District, New York",New_York
"New Hyde Park-Garden City Park Union Free School District, New York",New_York
"Tri-Valley Central School District, New York",New_York
"North Shore Central School District, New York",New_York
"Chester Union Free School District, New York",New_York
"Churchville-Chili Central School District, New York",New_York
"Clarkstown Central School District, New York",New_York
"Clifton-Fine Central School District, New York",New_York
"New Lebanon Central School District, New York",New_York
"Connetquot Central School District, New York",New_York
"Sullivan West Central School District, New York",New_York
"Fonda-Fultonville Central School District, New York",New_York
"Rye Neck Union Free School District, New York",New_York
"Livonia Central School District, New York",New_York
"Sachem Central School District, New York",New_York
"Kings Park Central School District, New York",New_York
"Pleasantville Union Free School District, New York",New_York
"Dunkirk City School District, New York",New_York
"East Aurora Union Free School District, New York",New_York
"New York City Department of Education, New York",New_York
"Hamilton Central School District, New York",New_York
"Portville Central School District, New York",New_York
"East Quogue Union Free School District, New York",New_York
"LaFargeville Central School District, New York",New_York
"Vestal Central School District, New York",New_York
"Putnam Central School District, New York",New_York
"Taconic Hills Central School District, New York",New_York
"Forestville Central School District, New York",New_York
"Ellicottville Central School District, New York",New_York
"Hastings-on-Hudson Union Free School District, New York",New_York
"Fabius-Pompey Central School District, New York",New_York
"Hinsdale Central School District, New York",New_York
"Voorheesville Central School District, New York",New_York
"Frankfort-Schuyler Central School District, New York",New_York
"Orchard Park Central School District, New York",New_York
"Salmon River Central School District, New York",New_York
"Germantown Central School District, New York",New_York
"Glens Falls City School District, New York",New_York
"Massena Central School District, New York",New_York
"Greene Central School District, New York",New_York
"Nanuet Union Free School District, New York",New_York
"Guilderland Central School District, New York",New_York
"Westfield Central School District, New York",New_York
"Harborfields Central School District, New York",New_York
"Lake Pleasant Central School District, New York",New_York
"Harpursville Central School District, New York",New_York
"Harrison Central School District, New York",New_York
"Huntington Union Free School District, New York",New_York
"St. Johnsville Central School District, New York",New_York
"Herricks Union Free School District, New York",New_York
"Niskayuna Central School District, New York",New_York
"Town of Webb Union Free School District, New York",New_York
"Potsdam Central School District, New York",New_York
"Honeoye Central School District, New York",New_York
"Horseheads Central School District, New York",New_York
"Tioga Central School District, New York",New_York
"Lisbon Central School District, New York",New_York
"Naples Central School District, New York",New_York
"Newfield Central School District, New York",New_York
"Irvington Union Free School District, New York",New_York
"Uniondale Union Free School District, New York",New_York
"Jamestown Public School District, New York",New_York
"Roscoe Central School District, New York",New_York
"Keene Central School District, New York",New_York
"Kendall Central School District, New York",New_York
"Lyme Central School District, New York",New_York
"Kingston City School District, New York",New_York
"Mohawk Central School District, New York",New_York
"LaFayette Central School District, New York",New_York
"Lake Placid Central School District, New York",New_York
"Putnam Valley Central School District, New York",New_York
"New Paltz Central School District, New York",New_York
"Letchworth Central School District, New York",New_York
"Little Falls City School District, New York",New_York
"Lockport City School District, New York",New_York
"Onteora Central School District, New York",New_York
"Malone Central School District, New York",New_York
"Mechanicville City School District, New York",New_York
"Westhampton Beach Union Free School District, New York",New_York
"Stamford Central School District, New York",New_York
"New York Mills Union Free School District, New York",New_York
"Utica City School District, New York",New_York
"Mount Pleasant Central School District, New York",New_York
"Norwich City School District, New York",New_York
"Queensbury Union Free School District, New York",New_York
"Oppenheim-Ephratah Central School District, New York",New_York
"Saratoga Springs City School District, New York",New_York
"Romulus Central School District, New York",New_York
"Richfield Springs Central School District, New York",New_York
"Schenevus Central School District, New York",New_York
"Watertown City School District, New York",New_York
"Seneca Falls Central School District, New York",New_York
"Waverly Central School District, New York",New_York
"Whitney Point Central School District, New York",New_York
"Shoreham-Wading River Central School District, New York",New_York
"Syracuse City School District, New York",New_York
"Wappingers Central School District, New York",New_York
"Silver Creek Central School District, New York",New_York
"Port Jefferson Union Free School District, New York",New_York
"Port Jervis City School District, New York",New_York
"Port Washington Union Free School District, New York",New_York
"Lansingburgh Central School District, New York",New_York
"Prattsburgh Central School District, New York",New_York
"Pulaski Central School District, New York",New_York
"Quogue Union Free School District, New York",New_York
"Webutuck Central School District, New York",New_York
"Suffern Central School District, New York",New_York
"Randolph Academy Union Free School District, New York",New_York
