LEA_NAME,simbli_id,LEAID
RAYTOWN C-2,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=224,2926070
GRANDVIEW C-4,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=225,2913140
Monroe County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=228,102400
CENTER 58,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=229,2908250
CARL JUNCTION R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=230,2907350
AVILLA R-XIII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=231,2904110
SARCOXIE R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=233,2927540
JOPLIN SCHOOLS,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=236,2916350
ROLLA 31,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=239,2926890
DUNKLIN R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=240,2914250
FESTUS R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=241,2912030
JEFFERSON CO. R-VII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=242,2916230
WINDSOR C-1,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=244,2932100
FOX C-6,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=245,2912300
CRYSTAL CITY 47,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=246,2910380
HOLDEN R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=249,2914490
Craven County Board of Education,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=250,3703310
KNOB NOSTER R-VIII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=252,2916830
LACLEDE CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=256,2910110
LEBANON R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=258,2918270
Buford City,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=259,1300600
MT. VERNON R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=269,2921600
Currituck County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=270,3701080
AURORA R-VIII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=271,2904020
LEWIS CO. C-1,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=273,2918460
WINFIELD R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=277,2932190
BROOKFIELD R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=282,2905940
CHILLICOTHE R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=285,2908760
MCDONALD CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=286,2920610
LA PLATA R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=289,2916950
MACON CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=290,2919410
FREDERICKTOWN R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=294,2912540
MARIES CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=295,2930870
PALMYRA R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=298,2923490
ELDON R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=302,2911340
SCHOOL OF THE OSAGE,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=305,2927630
IBERIA R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=306,2915420
CHARLESTON R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=308,2908670
TIPTON R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=312,2930330
MONTGOMERY CO. R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=321,2921330
MORGAN CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=322,2929610
MORGAN CO. R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=323,2930840
RISCO R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=324,2926610
GIDEON 37,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=326,2912780
NEW MADRID CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=327,2900004
EAST NEWTON CO. R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=328,2930420
DIAMOND R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=329,2910800
Dawson County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=331,1301650
NEOSHO SCHOOL DISTRICT,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=332,2921810
NORTH NODAWAY CO. R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=337,2921690
MARYVILLE R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=338,2920490
THAYER R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=341,2930270
OREGON-HOWELL R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=342,2916860
ALTON R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=343,2903060
OSAGE CO. R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=346,2931830
GAINESVILLE R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=349,2912600
DORA R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=350,2910950
,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=356,
CARUTHERSVILLE 18,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=358,2907470
Elbert County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=360,1302010
SMITHTON R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=364,2928380
ST. JAMES R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=368,2929250
Gates County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=370,3701680
BOWLING GREEN R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=372,2905660
Forsyth County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=373,1302220
LOUISIANA R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=375,2919260
PLATTE CO. R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=378,2925230
BOLIVAR R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=380,2905370
MARION C. EARLY R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=384,2920160
WAYNESVILLE R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=389,2931440
CROCKER R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=391,2910350
HIGBEE R-VIII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=396,2914370
