simbli_id,LEAID,LEA_NAME
2108,101290,Elmore County
2113,102190,Macon County
2115,102400,Monroe County
2117,101760,Homewood City
2122,102970,Selma City
2125,100330,Bessemer City
2134,103120,Sylacauga City
3561,4900182,Lumen Scholar Institute
3700,2926890,ROLLA 31
4002,1300060,Appling County
4003,1300090,Atkinson County
4005,1300150,Bacon County
4007,1300210,Baldwin County
4008,1300240,Banks County
4009,1922110,Ottumwa Comm School District
4010,1300330,Bartow County
4011,1300360,Ben Hill County
4012,1300390,Berrien County
4013,1300420,Bibb County
4014,1300440,Bleckley County
4015,1300480,Brantley County
4016,1300510,Bremen City
4017,1300540,Brooks County
4018,1300570,Bryan County
4019,1300600,Buford City
4020,1300630,Bulloch County
4021,1300660,Burke County
4022,1300690,Butts County
4023,1300720,Calhoun City
4024,1300750,Calhoun County
4025,1300780,Camden County
4026,1300810,Candler County
4027,1300840,Carroll County
4028,1300870,Carrollton City
4029,1300900,Cartersville City
4030,1300930,Catoosa County
4031,1300990,Charlton County
4032,1301050,Chattahoochee County
4033,1301080,Chattooga County
4035,1301140,Chickamauga City
4037,1301200,Clay County
4038,1301230,Clayton County
4039,503690,BRYANT SCHOOL DISTRICT
4041,1301350,Coffee County
4042,1301380,Colquitt County
4044,1301440,Commerce City
4045,1301470,Cook County
4046,1301500,Coweta County
4047,1301530,Crawford County
4048,1301560,Crisp County
4049,1301590,Dade County
4050,1301620,Dalton Public Schools
4051,611460,Downey Unified
4052,1301680,City Schools of Decatur
4053,1301710,Decatur County
4054,1301740,DeKalb County
4055,1301770,Dodge County
4056,1301800,Dooly County
4057,1301830,Dougherty County
4058,637350,South Bay Union Elementary
4059,1301870,Dublin City
4060,1301920,Early County
4061,1301950,Echols County
4062,1301980,Effingham County
4063,1302010,Elbert County
4064,1302040,Emanuel County
4065,1302070,Evans County
4066,1302100,Fannin County
4067,1302130,Fayette County
4068,1302190,Floyd County
4069,1302220,Forsyth County
4070,1302250,Franklin County
4072,1302310,Gainesville City
4073,1302340,Gilmer County
4074,1302370,Glascock County
4075,637200,Sonoma Valley Unified
4076,1302430,Gordon County
4077,1302460,Grady County
4078,1302490,Greene County
4079,638520,Surprise Valley Joint Unified
4081,1302580,Habersham County
4082,1302610,Hall County
4083,1302640,Hancock County
4084,1302670,Haralson County
4085,1302700,Harris County
4086,638730,Taft Union High
4087,1302790,Heard County
4088,1302820,Henry County
4089,1302880,Houston County
4091,1302940,Jackson County
4092,639300,Tipton Elementary
4093,1303000,Jeff Davis County
4094,1303030,Jefferson City
4095,1303060,Jefferson County
4096,,
4097,1303120,Johnson County
4098,1303150,Jones County
4099,1303210,Lamar County
4100,1303240,Lanier County
4101,1301890,Laurens County
4102,1303270,Lee County
4103,1303300,Liberty County
4105,1303360,Long County
4106,1303390,Lowndes County
4107,1303420,Lumpkin County
4108,1303450,Macon County
4109,1303480,Madison County
4110,1303510,Marietta City
4111,1303540,Marion County
4112,1303570,McDuffie County
4113,1303600,McIntosh County
4114,1303630,Meriwether County
4115,1303660,Miller County
4116,1303690,Mitchell County
4117,1303720,Monroe County
4118,1303750,Montgomery County
4119,691135,Val Verde Unified
4120,1303840,Murray County
4121,1303870,Muscogee County
4122,1303930,Newton County
4123,1303960,Oconee County
4124,1303990,Oglethorpe County
4125,1304020,Paulding County
4126,1304050,Peach County
4127,1304080,Pelham City
4128,1304110,Pickens County
4129,1304140,Pierce County
4130,1304170,Pike County
4131,1304200,Polk County
4132,1304220,Pulaski County
4133,636972,Victor Valley Union High
4134,1304290,Quitman County
4135,1304320,Rabun County
4136,1304350,Randolph County
4137,1304380,Richmond County
4138,1304410,Rockdale County
4139,1304440,Rome City
4140,1301020,Savannah-Chatham County
4141,1304470,Schley County
4142,1304500,Screven County
4143,1304530,Seminole County
4144,1304540,Social Circle City
4145,1304560,Stephens County
4146,1304590,Stewart County
4147,1304620,Sumter County
4148,1304650,Talbot County
4150,1304770,Tattnall County
4151,1304800,Taylor County
4154,1304890,Thomas County
4155,1305280,Thomaston-Upson County
4156,1304950,Thomasville City
4157,1304980,Tift County
4158,1305040,Toombs County
4159,1305070,Towns County
4160,1305100,Treutlen County
4161,1305130,Trion City
4162,1300001,Troup County
4163,1305190,Turner County
4164,1305220,Twiggs County
4165,1305250,Union County
4166,1305310,Valdosta City
4167,1305340,Vidalia City
4168,1305370,Walker County
4170,1305430,Ware County
4171,1305460,Warren County
4172,1305490,Washington County
4173,1305550,Wayne County
4176,1305670,White County
4177,1305700,Whitfield County
4178,1305730,Wilcox County
4179,1305760,Wilkes County
4180,1305790,Wilkinson County
4181,1305850,Worth County
4183,626820,Nevada City Elementary
4185,626820,Nevada City Elementary
4187,627180,Newhall
4257,627180,Newhall
10123,627590,North Monterey County Unified
10399,627590,North Monterey County Unified
10400,,
11101,627720,Novato Unified
11102,3701920,Guilford County Schools
12218,4670140,Summit School District 54-6
12225,620460,Pacifica
12226,4611760,Centerville School District 60-1
60861,3413110,Pittsgrove Township School District
60862,3418330,Woodstown-Pilesgrove Regional School District
60969,629640,Palo Verde Unified
61236,629640,Palo Verde Unified
62001,,
70005,632040,Redding Elementary
70061,632040,Redding Elementary
70542,100190,Alabaster City
70543,629820,Paradise Unified
70643,100194,Pelham City
71000,632270,Reef-Sunset Unified
100000,632270,Reef-Sunset Unified
100001,630030,Patterson Joint Unified
100003,632310,Rescue Union Elementary
100040,632310,Rescue Union Elementary
100060,632370,Rialto Unified
100065,632370,Rialto Unified
100070,630750,Placer Union High
100075,630750,Placer Union High
100100,630780,Placerville Union Elementary
100110,630780,Placerville Union Elementary
112001,632760,Rio Elementary
112002,600020,Pleasanton Unified
